tile_id,x_origin,y_origin,width,height
tile_0162.png,4352,1536,512,512
tile_0163.png,4608,1536,512,512
tile_0164.png,4864,1536,512,512
tile_0165.png,5120,1536,512,512
tile_0166.png,5376,1536,512,512
tile_0167.png,5632,1536,512,512
tile_0168.png,5688,1536,512,512
tile_0169.png,0,1792,512,512
tile_0170.png,256,1792,512,512
tile_0171.png,512,1792,512,512
tile_0172.png,768,1792,512,512
tile_0173.png,1024,1792,512,512
tile_0174.png,1280,1792,512,512
tile_0175.png,1536,1792,512,512
tile_0176.png,1792,1792,512,512
tile_0177.png,2048,1792,512,512
tile_0178.png,2304,1792,512,512
tile_0179.png,2560,1792,512,512
tile_0180.png,2816,1792,512,512
tile_0181.png,3072,1792,512,512
tile_0182.png,3328,1792,512,512
tile_0183.png,3584,1792,512,512
tile_0184.png,3840,1792,512,512
tile_0185.png,4096,1792,512,512
tile_0186.png,4352,1792,512,512
tile_0187.png,4608,1792,512,512
tile_0188.png,4864,1792,512,512
tile_0189.png,5120,1792,512,512
tile_0190.png,5376,1792,512,512
tile_0191.png,5632,1792,512,512
tile_0192.png,5688,1792,512,512
tile_0193.png,0,2048,512,512
tile_0194.png,256,2048,512,512
tile_0195.png,512,2048,512,512
tile_0196.png,768,2048,512,512
tile_0197.png,1024,2048,512,512
tile_0198.png,1280,2048,512,512
tile_0199.png,1536,2048,512,512
tile_0200.png,1792,2048,512,512
tile_0201.png,2048,2048,512,512
tile_0202.png,2304,2048,512,512
tile_0203.png,2560,2048,512,512
tile_0204.png,2816,2048,512,512
tile_0205.png,3072,2048,512,512
tile_0206.png,3328,2048,512,512
tile_0207.png,3584,2048,512,512
tile_0208.png,3840,2048,512,512
tile_0209.png,4096,2048,512,512
tile_0210.png,4352,2048,512,512
tile_0211.png,4608,2048,512,512
tile_0212.png,4864,2048,512,512
tile_0213.png,5120,2048,512,512
tile_0214.png,5376,2048,512,512
tile_0215.png,5632,2048,512,512
tile_0216.png,5688,2048,512,512
tile_0217.png,0,2304,512,512
tile_0218.png,256,2304,512,512
tile_0219.png,512,2304,512,512
tile_0220.png,768,2304,512,512
tile_0221.png,1024,2304,512,512
tile_0222.png,1280,2304,512,512
tile_0223.png,1536,2304,512,512
tile_0224.png,1792,2304,512,512
tile_0225.png,2048,2304,512,512
tile_0226.png,2304,2304,512,512
tile_0227.png,2560,2304,512,512
tile_0228.png,2816,2304,512,512
tile_0229.png,3072,2304,512,512
tile_0230.png,3328,2304,512,512
tile_0231.png,3584,2304,512,512
tile_0232.png,3840,2304,512,512
tile_0233.png,4096,2304,512,512
tile_0234.png,4352,2304,512,512
tile_0235.png,4608,2304,512,512
tile_0236.png,4864,2304,512,512
tile_0237.png,5120,2304,512,512
tile_0238.png,5376,2304,512,512
tile_0239.png,5632,2304,512,512
tile_0240.png,5688,2304,512,512
tile_0241.png,0,2560,512,512
tile_0242.png,256,2560,512,512
tile_0243.png,512,2560,512,512
tile_0244.png,768,2560,512,512
tile_0245.png,1024,2560,512,512
tile_0246.png,1280,2560,512,512
tile_0247.png,1536,2560,512,512
tile_0248.png,1792,2560,512,512
tile_0249.png,2048,2560,512,512
tile_0250.png,2304,2560,512,512
tile_0251.png,2560,2560,512,512
tile_0252.png,2816,2560,512,512
tile_0253.png,3072,2560,512,512
tile_0254.png,3328,2560,512,512
tile_0255.png,3584,2560,512,512
tile_0256.png,3840,2560,512,512
tile_0257.png,4096,2560,512,512
tile_0258.png,4352,2560,512,512
tile_0259.png,4608,2560,512,512
tile_0260.png,4864,2560,512,512
tile_0261.png,5120,2560,512,512
tile_0262.png,5376,2560,512,512
tile_0263.png,5632,2560,512,512
tile_0264.png,5688,2560,512,512
tile_0265.png,0,2816,512,512
tile_0266.png,256,2816,512,512
tile_0267.png,512,2816,512,512
tile_0268.png,768,2816,512,512
tile_0269.png,1024,2816,512,512
tile_0270.png,1280,2816,512,512
tile_0271.png,1536,2816,512,512
tile_0272.png,1792,2816,512,512
tile_0273.png,2048,2816,512,512
tile_0274.png,2304,2816,512,512
tile_0275.png,2560,2816,512,512
tile_0276.png,2816,2816,512,512
tile_0277.png,3072,2816,512,512
tile_0278.png,3328,2816,512,512
tile_0279.png,3584,2816,512,512
tile_0280.png,3840,2816,512,512
tile_0281.png,4096,2816,512,512
tile_0282.png,4352,2816,512,512
tile_0283.png,4608,2816,512,512
tile_0284.png,4864,2816,512,512
tile_0285.png,5120,2816,512,512
tile_0286.png,5376,2816,512,512
tile_0287.png,5632,2816,512,512
tile_0288.png,5688,2816,512,512
tile_0289.png,0,3072,512,512
tile_0290.png,256,3072,512,512
tile_0291.png,512,3072,512,512
tile_0292.png,768,3072,512,512
tile_0293.png,1024,3072,512,512
tile_0294.png,1280,3072,512,512
tile_0295.png,1536,3072,512,512
tile_0296.png,1792,3072,512,512
tile_0297.png,2048,3072,512,512
tile_0298.png,2304,3072,512,512
tile_0299.png,2560,3072,512,512
tile_0300.png,2816,3072,512,512
tile_0301.png,3072,3072,512,512
tile_0302.png,3328,3072,512,512
tile_0303.png,3584,3072,512,512
tile_0304.png,3840,3072,512,512
tile_0305.png,4096,3072,512,512
tile_0306.png,4352,3072,512,512
tile_0307.png,4608,3072,512,512
tile_0308.png,4864,3072,512,512
tile_0309.png,5120,3072,512,512
tile_0310.png,5376,3072,512,512
tile_0311.png,5632,3072,512,512
tile_0312.png,5688,3072,512,512
tile_0313.png,0,3328,512,512
tile_0314.png,256,3328,512,512
tile_0315.png,512,3328,512,512
tile_0316.png,768,3328,512,512
tile_0317.png,1024,3328,512,512
tile_0318.png,1280,3328,512,512
tile_0319.png,1536,3328,512,512
tile_0320.png,1792,3328,512,512
tile_0321.png,2048,3328,512,512
tile_0322.png,2304,3328,512,512
tile_0323.png,2560,3328,512,512
tile_0324.png,2816,3328,512,512
tile_0325.png,3072,3328,512,512
tile_0326.png,3328,3328,512,512
tile_0327.png,3584,3328,512,512
tile_0328.png,3840,3328,512,512
tile_0329.png,4096,3328,512,512
tile_0330.png,4352,3328,512,512
tile_0331.png,4608,3328,512,512
tile_0332.png,4864,3328,512,512
tile_0333.png,5120,3328,512,512
tile_0334.png,5376,3328,512,512
tile_0335.png,5632,3328,512,512
tile_0336.png,5688,3328,512,512
tile_0337.png,0,3584,512,512
tile_0338.png,256,3584,512,512
tile_0339.png,512,3584,512,512
tile_0340.png,768,3584,512,512
tile_0341.png,1024,3584,512,512
tile_0342.png,1280,3584,512,512
tile_0343.png,1536,3584,512,512
tile_0344.png,1792,3584,512,512
tile_0345.png,2048,3584,512,512
tile_0346.png,2304,3584,512,512
tile_0347.png,2560,3584,512,512
tile_0348.png,2816,3584,512,512
tile_0349.png,3072,3584,512,512
tile_0350.png,3328,3584,512,512
tile_0351.png,3584,3584,512,512
tile_0352.png,3840,3584,512,512
tile_0353.png,4096,3584,512,512
tile_0354.png,4352,3584,512,512
tile_0355.png,4608,3584,512,512
tile_0356.png,4864,3584,512,512
tile_0357.png,5120,3584,512,512
tile_0358.png,5376,3584,512,512
tile_0359.png,5632,3584,512,512
tile_0360.png,5688,3584,512,512
tile_0361.png,0,3808,512,512
tile_0362.png,256,3808,512,512
tile_0363.png,512,3808,512,512
tile_0364.png,768,3808,512,512
tile_0365.png,1024,3808,512,512
tile_0366.png,1280,3808,512,512
tile_0367.png,1536,3808,512,512
tile_0368.png,1792,3808,512,512
tile_0369.png,2048,3808,512,512
tile_0370.png,2304,3808,512,512
tile_0371.png,2560,3808,512,512
tile_0372.png,2816,3808,512,512
tile_0373.png,3072,3808,512,512
tile_0374.png,3328,3808,512,512
tile_0375.png,3584,3808,512,512
tile_0376.png,3840,3808,512,512
tile_0377.png,4096,3808,512,512
tile_0378.png,4352,3808,512,512
tile_0379.png,4608,3808,512,512
tile_0380.png,4864,3808,512,512
tile_0381.png,5120,3808,512,512
tile_0382.png,5376,3808,512,512
tile_0383.png,5632,3808,512,512
tile_0384.png,5688,3808,512,512
